speed,distance_traveled_km,idle_time_minutes,vehicle_age_years,fuel_efficiency_l_per_km,optimized_route_flag,fuel_per_km,idle_ratio,optimized_x_experience,hour_of_day,day_of_week,vehicle_type_truck,vehicle_type_van,actual_fuel,predicted_fuel
58.19,19.0,4.5,10.0,0.16,0.0,0.1552549865796537,0.23682964054523445,0.0,11.0,1.0,0.0,1.0,5.03,2.9466999999999994
89.63,73.1,2.1,6.0,0.15,0.0,0.15225509910945131,0.028727377190462512,0.0,15.0,6.0,0.0,1.0,2.56,11.07159999999999
66.82,57.3,3.4,5.0,0.09,0.0,0.09074885255056632,0.059335788206139516,0.0,9.0,4.0,0.0,0.0,,5.198499999999999
98.05,23.5,2.8,6.0,0.09,0.0,0.09233649631930556,0.11914386621845878,0.0,22.0,6.0,0.0,0.0,,2.165599999999999
34.41,9.3,7.0,8.0,0.13,1.0,0.12794323191054724,0.7526072465326309,2.0,18.0,5.0,0.0,0.0,,1.1902000000000004
75.42,22.5,2.2,7.0,0.09,0.0,0.08621839029376471,0.09777343229189814,0.0,9.0,2.0,0.0,0.0,,1.9386000000000008
105.49,49.4,2.8,10.0,0.11,1.0,0.10566587720896338,0.05667901459484626,7.0,23.0,0.0,0.0,0.0,,5.213800000000001
68.03,2.8,2.5,9.0,0.19,1.0,0.18921813637986437,0.8925383791503035,15.0,12.0,6.0,0.0,1.0,,0.5410999999999997
120.17,16.1,1.8,11.0,0.12,1.0,0.12048941059561516,0.11179429849077696,18.0,7.0,4.0,0.0,0.0,,1.9365999999999988
91.29,49.5,2.5,9.0,0.31,0.0,0.3121149067695602,0.050504030221611686,0.0,14.0,2.0,1.0,0.0,,15.451999999999988
65.64,29.1,2.7,10.0,0.29,1.0,0.29174255180234354,0.09278031682760042,8.0,5.0,6.0,1.0,0.0,,8.489799999999999
62.41,24.5,1.9,3.0,0.08,1.0,0.08326190767723766,0.0775478551895841,1.0,5.0,6.0,0.0,0.0,,2.034300000000001
52.17,10.4,18.2,6.0,0.17,0.0,0.16825305259109702,1.749831746947409,0.0,22.0,6.0,0.0,0.0,,1.7475999999999996
98.48,41.8,1.6,3.0,0.15,1.0,0.15191024138178513,0.03827659625367815,5.0,21.0,6.0,0.0,1.0,,6.349600000000006
115.3,64.1,0.9,0.0,0.1,1.0,0.09781438667103477,0.014040342584359058,9.0,19.0,5.0,0.0,0.0,1.42,6.2857
63.76,11.5,9.9,5.0,0.11,0.0,0.11216415963829234,0.8607947135031737,0.0,9.0,6.0,0.0,0.0,,1.2879999999999998
84.54,40.9,2.4,12.0,0.14,0.0,0.13716046062443463,0.05867827192489181,0.0,5.0,3.0,0.0,1.0,,5.596800000000003
52.29,14.0,7.1,3.0,0.1,1.0,0.10070709235054638,0.5071066352403399,15.0,5.0,3.0,0.0,0.0,,1.4107999999999992
50.55,10.7,4.4,9.0,0.11,1.0,0.11027006821792357,0.4111765255583591,20.0,16.0,6.0,0.0,0.0,,1.1785000000000005
60.07,11.5,2.4,9.0,0.08,0.0,0.08434049213111904,0.20867750630379966,0.0,11.0,4.0,0.0,0.0,,0.9777000000000006
112.56,32.1,1.6,1.0,0.09,0.0,0.0862901467244011,0.04984268402853494,0.0,23.0,2.0,0.0,0.0,,2.7713999999999985
48.77,14.0,8.7,5.0,0.12,0.0,0.11713449039354332,0.6213841868437968,0.0,13.0,5.0,0.0,0.0,,1.6425999999999996
49.37,12.2,7.2,12.0,0.11,0.0,0.1114662732562905,0.5901155642980085,0.0,21.0,2.0,0.0,0.0,,1.3551999999999997
27.05,13.7,8.5,8.0,0.13,1.0,0.12772790307276843,0.6203926720677323,3.0,9.0,4.0,0.0,0.0,,1.7563000000000009
35.17,7.9,4.9,6.0,0.36,0.0,0.3607138336919377,0.6201746614352613,0.0,4.0,3.0,1.0,0.0,,2.848599999999999
60.44,14.0,8.7,8.0,0.37,1.0,0.37140204271123495,0.6213841868437968,0.0,19.0,0.0,1.0,0.0,,5.197000000000003
33.81,11.2,10.0,0.0,0.4,1.0,0.39907151147219,0.8927774305865549,11.0,14.0,0.0,1.0,0.0,,4.509399999999997
53.27,15.1,2.1,6.0,0.14,0.0,0.14038805377127345,0.13906363816965767,0.0,5.0,3.0,0.0,1.0,,2.117799999999999
35.85,17.6,9.7,6.0,0.11,0.0,0.11362990739162546,0.5511050508493834,0.0,9.0,2.0,0.0,0.0,,2.0015000000000014
75.67,15.0,4.5,10.0,0.39,1.0,0.3946403573095127,0.2999800013332445,18.0,17.0,0.0,1.0,0.0,,5.945099999999999
88.5,41.7,2.9,6.0,0.08,0.0,0.084890050598307,0.06954269681782212,0.0,12.0,1.0,0.0,0.0,,3.5324
79.99,49.1,5.2,5.0,0.09,1.0,0.09368444634528827,0.10590415673815198,20.0,11.0,5.0,0.0,0.0,,4.597
98.02,58.6,2.4,10.0,0.11,1.0,0.10511766010818928,0.040954932509684135,14.0,1.0,4.0,0.0,0.0,,6.148799999999999
110.91,62.6,2.0,10.0,0.11,0.0,0.10798549543936997,0.031948371431766265,0.0,9.0,4.0,0.0,0.0,,6.749800000000005
24.23,14.7,10.1,7.0,0.21,1.0,0.2067886538330726,0.6870280933269846,4.0,18.0,6.0,0.0,1.0,,3.0557999999999996
45.11,2.0,4.3,8.0,0.28,0.0,0.27486256871564224,2.1489255372313845,0.0,14.0,2.0,0.0,1.0,,0.5299999999999999
39.54,9.9,7.4,6.0,0.19,0.0,0.19088980911019088,0.7473992526007475,0.0,21.0,0.0,0.0,1.0,,1.8804000000000003
45.88,13.0,5.7,12.0,0.36,1.0,0.36304899623105913,0.438427813245135,12.0,19.0,6.0,1.0,0.0,2.69,4.715599999999998
90.54,15.5,4.6,11.0,0.13,1.0,0.1283788142700471,0.2967550480614154,7.0,0.0,5.0,0.0,0.0,0.91,1.9960999999999995
96.66,35.3,3.3,9.0,0.19,1.0,0.19319566017959836,0.09348177105464435,20.0,11.0,1.0,0.0,1.0,,6.934700000000001
43.74,8.7,7.2,3.0,0.35,0.0,0.3539823008849558,0.8274910929778188,0.0,10.0,2.0,1.0,0.0,5.01,3.097000000000001
111.22,35.2,1.2,6.0,0.1,1.0,0.09772449646316865,0.03408994062668674,3.0,12.0,2.0,0.0,0.0,,3.4472999999999967
129.09,16.6,2.4,10.0,0.11,1.0,0.10782482982952833,0.14456960424070836,20.0,3.0,4.0,0.0,0.0,,1.7920000000000005
46.04,12.9,8.5,3.0,0.1,1.0,0.10464305092628479,0.6588636539803117,15.0,14.0,5.0,0.0,0.0,5.26,1.3493999999999986
109.91,44.1,4.0,12.0,0.39,1.0,0.39182784970862344,0.09070089113625542,0.0,19.0,4.0,1.0,0.0,3.99,17.25660000000001
42.17,15.0,9.8,4.0,0.19,0.0,0.18665422305179655,0.653289780681288,0.0,18.0,6.0,0.0,1.0,,2.8066999999999998
48.39,12.9,4.9,3.0,0.09,0.0,0.08836524300441825,0.3798155181768855,0.0,1.0,5.0,0.0,0.0,,1.1418000000000001
103.22,40.6,1.0,8.0,0.08,0.0,0.08472697716805005,0.024629935223270363,0.0,6.0,6.0,0.0,0.0,,3.4441999999999977
41.86,12.4,18.4,6.0,0.27,0.0,0.27255866462382067,1.4837513103781952,0.0,17.0,0.0,0.0,1.0,,3.215000000000001
34.58,16.1,8.0,5.0,0.11,1.0,0.11055213961865722,0.4968635488478976,4.0,10.0,4.0,0.0,0.0,,1.7823000000000007
41.56,10.6,5.2,3.0,0.35,1.0,0.3509102914819357,0.4905197622865768,11.0,22.0,1.0,1.0,0.0,,3.7128
95.2,21.3,2.1,1.0,0.32,1.0,0.32111168489742264,0.09858692080184028,5.0,11.0,4.0,1.0,0.0,,6.804300000000004
92.64,52.3,0.8,11.0,0.38,1.0,0.37781304372765345,0.01529607464484427,20.0,17.0,4.0,1.0,0.0,,19.57839999999998
89.94,26.9,2.6,8.0,0.14,1.0,0.13791308873276087,0.09665068213077581,9.0,19.0,5.0,0.0,1.0,4.07,3.6971000000000003
85.18,48.2,3.7,1.0,0.33,1.0,0.32675670629240056,0.07676189290678617,17.0,9.0,1.0,1.0,0.0,,15.717899999999991
62.86,36.2,4.8,2.0,0.09,0.0,0.08839534819480126,0.13259302229220188,0.0,23.0,5.0,0.0,0.0,,3.191100000000003
53.5,31.2,7.4,4.0,0.1,1.0,0.1048043331944489,0.23717188551648985,2.0,0.0,0.0,0.0,0.0,,3.264100000000001
80.61,18.1,3.4,5.0,0.09,0.0,0.08784045080382298,0.18783492624716863,0.0,13.0,1.0,0.0,0.0,,1.5907999999999998
78.34,35.1,4.4,11.0,0.09,0.0,0.08888635651405943,0.12535255405828896,0.0,2.0,6.0,0.0,0.0,,3.1153000000000004
59.62,9.7,7.0,1.0,0.16,1.0,0.15874652097721886,0.7215750953509948,20.0,23.0,6.0,0.0,1.0,,1.5407000000000002
77.44,30.6,5.1,12.0,0.35,0.0,0.3490082023463285,0.16666122022156135,0.0,13.0,0.0,1.0,0.0,,10.721400000000003
51.81,12.1,4.6,1.0,0.1,1.0,0.09751260226427569,0.3801338732336171,4.0,6.0,6.0,0.0,0.0,1.82,1.1809000000000023
31.45,2.0,7.1,11.0,0.23,0.0,0.22488755622188908,3.548225887056472,0.0,0.0,3.0,0.0,0.0,8.9,0.45490000000000047
42.75,18.2,6.1,7.0,0.15,1.0,0.14889291797154003,0.3351464205263447,1.0,10.0,1.0,0.0,1.0,,2.7151999999999994
96.08,65.7,6.2,11.0,0.16,0.0,0.16118476126695178,0.09436690461332399,0.0,18.0,4.0,0.0,1.0,,10.6006
59.42,11.5,4.1,7.0,0.33,0.0,0.3277975828188853,0.3564907399356578,0.0,15.0,0.0,1.0,0.0,,3.7488999999999977
59.99,4.3,5.7,6.0,0.13,1.0,0.1278772378516624,1.325273192280865,5.0,21.0,2.0,0.0,0.0,,0.5579
119.0,27.5,2.9,12.0,0.39,1.0,0.39344023853678045,0.1054507108832406,2.0,19.0,4.0,1.0,0.0,,10.874499999999994
87.81,58.2,3.2,10.0,0.1,1.0,0.10171646535282898,0.054981873163691346,16.0,7.0,0.0,0.0,0.0,,5.904899999999998
41.57,15.0,5.2,12.0,0.37,1.0,0.36930871275248317,0.3466435570961936,18.0,13.0,3.0,1.0,0.0,,5.547199999999998
54.06,20.2,7.4,8.0,0.18,1.0,0.17622889955942775,0.3663184990842038,16.0,16.0,4.0,0.0,1.0,1.42,3.555700000000003
107.26,54.9,1.9,8.0,0.33,1.0,0.32932004881514,0.03460774849274148,4.0,13.0,4.0,1.0,0.0,,18.0487
55.19,22.8,5.9,6.0,0.15,1.0,0.14999342134116922,0.2587605806762861,7.0,0.0,5.0,0.0,1.0,,3.423700000000002
20.49,16.6,5.4,11.0,0.47,1.0,0.4674417203782904,0.32528160954159385,10.0,17.0,4.0,1.0,0.0,,7.685999999999999
86.76,41.4,3.2,12.0,0.18,1.0,0.18284582498007296,0.0772928190140335,4.0,8.0,5.0,0.0,1.0,,7.6446
88.2,13.5,3.1,4.0,0.35,0.0,0.35256647655729206,0.22961262128731208,0.0,5.0,2.0,1.0,0.0,,4.766700000000002
131.14,58.4,1.5,4.0,0.15,1.0,0.14999743155082962,0.02568449170390918,19.0,19.0,2.0,0.0,1.0,,8.755599999999989
108.12,42.5,2.5,3.0,0.15,0.0,0.1489376720547752,0.05882214536128562,0.0,19.0,1.0,0.0,1.0,,6.349000000000002
101.46,59.0,1.8,10.0,0.09,1.0,0.09186284978220709,0.030507957492245896,11.0,4.0,6.0,0.0,0.0,,5.431299999999997
43.85,13.4,6.5,10.0,0.16,0.0,0.16267442728154616,0.48503842996791285,0.0,14.0,5.0,0.0,1.0,1.02,2.169499999999998
55.76,13.5,10.3,5.0,0.38,1.0,0.3755277386860233,0.7629064513739724,19.0,7.0,2.0,1.0,0.0,,5.064399999999999
36.45,10.3,4.0,3.0,0.17,1.0,0.1650325211144549,0.3883118143869527,7.0,12.0,0.0,0.0,1.0,,1.698499999999999
62.17,11.1,9.5,4.0,0.41,1.0,0.4107738041617872,0.8557787586703901,7.0,19.0,6.0,1.0,0.0,,4.583299999999999
56.93,14.4,10.5,10.0,0.38,0.0,0.38261231858898687,0.7291160336087772,0.0,8.0,2.0,1.0,0.0,,5.495700000000003
109.54,37.0,1.5,12.0,0.1,1.0,0.0967541417799519,0.04053944487986812,15.0,15.0,1.0,0.0,0.0,2.17,3.5856000000000017
96.96,29.5,1.7,2.0,0.14,0.0,0.13558862411443678,0.05762516524863564,0.0,12.0,1.0,0.0,1.0,,4.001000000000001
51.96,11.4,5.5,1.0,0.11,1.0,0.10525392509428998,0.48241382334882904,18.0,22.0,4.0,0.0,0.0,,1.2002000000000004
66.72,59.4,1.8,1.0,0.09,1.0,0.08703557179172068,0.030302520159593276,0.0,6.0,5.0,0.0,0.0,3.59,5.163499999999995
47.95,21.7,7.0,2.0,0.17,1.0,0.16543016450854797,0.32256578037878436,5.0,23.0,4.0,0.0,1.0,,3.585000000000002
43.44,4.7,9.6,8.0,0.17,0.0,0.16804935120187192,2.04211869814933,0.0,17.0,1.0,0.0,0.0,,0.7848
90.19,60.7,1.5,6.0,0.09,0.0,0.08830167542544605,0.02471128976458378,0.0,0.0,0.0,0.0,0.0,,5.362200000000005
118.23,41.5,3.5,11.0,0.16,0.0,0.16216476711404545,0.08433531722127179,0.0,4.0,1.0,0.0,1.0,,6.752099999999995
24.78,9.6,7.2,4.0,0.13,1.0,0.12498698052286221,0.7499218831371733,7.0,11.0,6.0,0.0,0.0,,1.2005999999999992
42.85,11.5,2.6,1.0,0.08,1.0,0.08173202330232153,0.226067298495783,18.0,7.0,0.0,0.0,0.0,,0.9571000000000006
47.32,5.8,6.1,7.0,0.44,0.0,0.4361317014307878,1.0515428374418203,0.0,10.0,1.0,1.0,0.0,,2.509400000000002
36.78,7.3,5.9,4.0,0.14,1.0,0.13696753869332967,0.8081084782906451,11.0,7.0,2.0,0.0,0.0,,1.0021000000000004
54.82,63.0,5.8,12.0,0.19,0.0,0.18539388263678355,0.09206203076141649,0.0,17.0,1.0,0.0,1.0,,11.590599999999997
39.98,12.6,3.9,12.0,0.37,1.0,0.36663756844694867,0.30949924609158,15.0,23.0,4.0,1.0,0.0,,4.619299999999998
47.64,12.0,5.2,1.0,0.37,1.0,0.3724689609199233,0.43329722523123076,19.0,16.0,1.0,1.0,0.0,2.81,4.4743
40.22,15.8,4.7,6.0,0.14,1.0,0.14302892222011263,0.29744952851085377,1.0,21.0,2.0,0.0,1.0,,2.2630000000000003
95.17,57.7,2.8,2.0,0.09,1.0,0.08509384586055702,0.04852602207934004,13.0,5.0,6.0,0.0,0.0,8.44,4.904900000000003
103.38,45.8,2.3,11.0,0.09,0.0,0.08951769612017205,0.05021724416497456,0.0,2.0,4.0,0.0,0.0,,4.0965
35.3,8.0,10.4,10.0,0.15,1.0,0.14498187726534184,1.2998375203099615,14.0,3.0,6.0,0.0,0.0,,1.1627000000000007
116.57,30.4,3.2,0.0,0.37,1.0,0.36972468010920695,0.10525969540475642,16.0,19.0,4.0,1.0,0.0,,11.2513
95.93,32.3,2.6,9.0,0.33,0.0,0.33002074239187645,0.08049286399801865,0.0,17.0,0.0,1.0,0.0,,10.658300000000002
83.05,19.4,2.9,10.0,0.09,1.0,0.08917066130611824,0.14947683109118087,12.0,8.0,5.0,0.0,0.0,,1.7257
74.42,13.0,2.9,1.0,0.13,1.0,0.12691331436043382,0.22305976463348973,5.0,0.0,0.0,0.0,1.0,,1.6366000000000003
97.04,58.5,2.1,3.0,0.14,1.0,0.1369207363976684,0.035896822276542284,14.0,11.0,1.0,0.0,1.0,,8.020900000000001
80.15,30.9,4.7,10.0,0.09,1.0,0.09287725316332805,0.1520986375845442,6.0,14.0,3.0,0.0,0.0,,2.868500000000002
45.31,6.0,3.1,3.0,0.1,1.0,0.09831694717547075,0.5165805699050158,5.0,0.0,1.0,0.0,0.0,,0.5859000000000002
117.86,6.9,1.1,12.0,0.12,0.0,0.11592522822779307,0.15939718881321546,0.0,12.0,1.0,0.0,0.0,,0.7958999999999996
104.6,51.1,2.0,6.0,0.1,1.0,0.09510577092424806,0.03913817733508151,0.0,6.0,3.0,0.0,0.0,2.05,4.861200000000004
37.59,3.0,8.2,3.0,0.31,0.0,0.31322892369210265,2.732422525824725,0.0,1.0,4.0,0.0,1.0,,0.9213999999999994
106.6,68.5,2.1,9.0,0.36,0.0,0.3639362929008335,0.030656486766616545,0.0,5.0,3.0,1.0,0.0,,24.78229999999998
29.14,15.0,12.5,3.0,0.44,1.0,0.4433037797480168,0.8332777814812347,16.0,16.0,0.0,1.0,0.0,,6.620799999999997
88.53,39.9,2.3,6.0,0.14,1.0,0.1416004611413248,0.057642665597353454,10.0,19.0,3.0,0.0,1.0,,5.663999999999998
105.29,70.4,2.0,7.0,0.35,1.0,0.351131375974773,0.02840868737659976,2.0,21.0,4.0,1.0,0.0,,24.689699999999995
43.78,5.8,9.4,2.0,0.53,0.0,0.5343906223064989,1.620410274090674,0.0,16.0,5.0,1.0,0.0,,3.0993
42.93,9.8,10.0,8.0,0.13,0.0,0.12549739822467096,1.0203040506070808,0.0,11.0,6.0,0.0,0.0,2.78,1.2247999999999986
47.22,12.3,3.9,1.0,0.33,1.0,0.3349321193398911,0.31704739452077063,20.0,17.0,4.0,1.0,0.0,,4.1145
53.74,8.5,9.7,1.0,0.19,1.0,0.1905658157863781,1.141042230325844,19.0,12.0,6.0,0.0,1.0,,1.6383999999999994
90.21,59.8,1.1,10.0,0.32,0.0,0.32022875871640943,0.01839434123175198,0.0,17.0,2.0,1.0,0.0,1.43,19.15660000000001
32.94,7.9,11.4,10.0,0.15,0.0,0.15061384634856345,1.4428553347677509,0.0,22.0,2.0,0.0,0.0,,1.1908000000000005
111.88,83.9,0.8,0.0,0.15,1.0,0.1476740444094826,0.009535047258077972,2.0,11.0,3.0,0.0,1.0,,12.361099999999997
36.97,9.7,6.2,6.0,0.2,1.0,0.20204102669827856,0.639109370168024,18.0,1.0,0.0,0.0,1.0,,1.9594
58.66,19.9,9.4,10.0,0.11,0.0,0.1085372594341993,0.4723380734636451,0.0,10.0,2.0,0.0,0.0,,2.156700000000001
42.16,18.9,8.4,10.0,0.12,0.0,0.11639595788582616,0.44442093010951805,0.0,20.0,1.0,0.0,0.0,,2.2169999999999996
31.7,43.8,8.5,8.0,0.11,0.0,0.1077600968014429,0.19405949635853065,0.0,16.0,0.0,0.0,0.0,,4.721
111.35,39.7,1.2,5.0,0.09,1.0,0.09218911362434196,0.03022593889322687,15.0,3.0,6.0,0.0,0.0,,3.661400000000004
103.96,55.7,0.9,2.0,0.08,0.0,0.08132708568966446,0.016157699143641947,0.0,19.0,3.0,0.0,0.0,,4.513899999999996
84.9,33.0,4.0,6.0,0.1,1.0,0.09666373746250115,0.12120844822884155,11.0,11.0,5.0,0.0,0.0,,3.2021
57.64,31.7,3.7,4.0,0.33,1.0,0.33090438787419957,0.11671556102331157,20.0,18.0,4.0,1.0,0.0,,10.484099999999998
44.21,5.3,13.3,8.0,0.63,0.0,0.6281833616298812,2.5089605734767026,0.0,18.0,0.0,1.0,0.0,,3.4335000000000004
114.93,31.1,1.5,3.0,0.09,1.0,0.08777852802160702,0.04822996045143243,0.0,11.0,3.0,0.0,0.0,,2.7279
84.44,48.7,1.9,0.0,0.08,1.0,0.0778218106404386,0.039013572616578715,17.0,12.0,2.0,0.0,0.0,,3.784100000000001
63.51,15.6,5.0,11.0,0.15,0.0,0.14678546247035448,0.3204922761361451,0.0,6.0,3.0,0.0,1.0,5.02,2.2963000000000022
39.28,7.6,6.2,10.0,0.41,1.0,0.4117879226417577,0.8156821470859098,3.0,10.0,6.0,1.0,0.0,,3.1373
67.29,5.5,10.6,12.0,0.26,0.0,0.2599527358662061,1.9269223777495,0.0,15.0,4.0,0.0,1.0,2.09,1.4188
60.96,7.8,8.9,9.0,0.13,1.0,0.13459812844507116,1.1408793744391745,18.0,6.0,5.0,0.0,0.0,4.03,1.0475000000000005
93.43,35.4,0.8,5.0,0.13,1.0,0.13361204485748993,0.02259823168837039,8.0,16.0,1.0,0.0,1.0,,4.746099999999998
106.17,45.5,2.1,0.0,0.13,0.0,0.13406298762664556,0.04615283180589438,0.0,4.0,6.0,0.0,1.0,1.72,6.060900000000001
107.83,30.7,2.9,4.0,0.09,1.0,0.09250513012605452,0.09445946386111201,16.0,12.0,3.0,0.0,0.0,,2.8344000000000027
56.99,4.9,4.1,9.0,0.18,1.0,0.17547439298102424,0.8365639665374411,17.0,10.0,0.0,0.0,1.0,,0.8805999999999998
75.55,23.6,2.3,11.0,0.1,1.0,0.09914834117198422,0.09745349773314688,9.0,3.0,1.0,0.0,0.0,,2.3393
102.63,42.5,1.9,10.0,0.18,1.0,0.17599585892096659,0.044704830474577066,18.0,7.0,1.0,0.0,1.0,,7.483700000000002
38.74,21.6,7.9,7.0,0.12,1.0,0.12175362251747603,0.3657238090829128,12.0,17.0,2.0,0.0,0.0,,2.6064000000000003
76.76,23.2,2.9,10.0,0.4,1.0,0.40127580707728117,0.12499461230119391,10.0,16.0,3.0,1.0,0.0,,9.3457
109.77,56.5,1.8,1.0,0.14,0.0,0.13964354613192687,0.031857843224013735,0.0,13.0,4.0,0.0,1.0,,7.899399999999997
20.94,7.8,12.7,3.0,0.51,0.0,0.5050634534034099,1.6279964107165747,0.0,6.0,4.0,1.0,0.0,5.26,4.0572
110.47,31.2,2.4,0.0,0.09,0.0,0.08909970834268131,0.07692061151886156,0.0,15.0,6.0,0.0,0.0,,2.7771
110.77,45.4,0.9,0.0,0.09,0.0,0.08678222946631133,0.01982335190854827,0.0,23.0,0.0,0.0,0.0,,3.9587000000000008
69.89,32.9,4.1,9.0,0.13,0.0,0.12826357861463178,0.12461627306160908,0.0,3.0,5.0,0.0,1.0,,4.217499999999998
111.57,42.7,1.3,10.0,0.14,0.0,0.14215123767593266,0.030444251891056415,0.0,17.0,6.0,0.0,1.0,,6.074799999999997
30.1,17.8,12.8,11.0,0.13,0.0,0.13370035391270152,0.7190607269254536,0.0,14.0,3.0,0.0,0.0,,2.3657000000000044
50.36,12.2,8.5,9.0,0.41,0.0,0.40734366035570857,0.6966642078518155,0.0,18.0,6.0,1.0,0.0,,4.938099999999996
120.71,45.2,0.7,10.0,0.37,1.0,0.36636357602707903,0.015486383044622905,7.0,7.0,0.0,1.0,0.0,,16.641400000000008
60.61,11.4,5.7,0.0,0.14,1.0,0.14384703096219628,0.49995614419787743,7.0,2.0,0.0,0.0,1.0,0.99,1.6424000000000003
74.03,16.3,0.9,4.0,0.08,1.0,0.0766824121219557,0.055211336727808105,9.0,19.0,4.0,0.0,0.0,,1.2850000000000008
31.03,13.5,5.7,2.0,0.16,1.0,0.157766091400637,0.4221909488186061,17.0,17.0,3.0,0.0,1.0,,2.1326000000000005
58.07,29.4,2.8,9.0,0.08,1.0,0.08231012550593517,0.09523485595728036,5.0,0.0,3.0,0.0,0.0,1.05,2.417799999999998
107.67,53.9,2.1,1.0,0.31,1.0,0.31001280124673014,0.03896031613513665,2.0,7.0,1.0,1.0,0.0,,16.76279999999999
32.01,16.9,7.7,12.0,0.39,1.0,0.3940595231051417,0.45559434352996864,16.0,2.0,3.0,1.0,0.0,,6.648
26.92,8.7,13.7,5.0,0.54,0.0,0.5378692104355821,1.5745316630272383,0.0,16.0,6.0,1.0,0.0,,4.693099999999997
47.71,13.3,6.6,5.0,0.11,0.0,0.11427712202090068,0.49620329298548976,0.0,8.0,5.0,0.0,0.0,,1.5156
109.13,28.1,2.9,6.0,0.09,0.0,0.08540621330201771,0.10319917440660474,0.0,15.0,1.0,0.0,0.0,,2.4020999999999986
80.18,15.9,3.3,11.0,0.36,1.0,0.364128042261493,0.20753411735111,5.0,14.0,5.0,1.0,0.0,1.78,5.789699999999999
79.98,59.3,5.0,8.0,0.16,1.0,0.15935650326301412,0.08431561019207097,7.0,5.0,4.0,0.0,1.0,,9.48559999999999
41.31,4.7,7.8,8.0,0.51,1.0,0.5105296745373324,1.6592214422463303,13.0,2.0,0.0,1.0,0.0,3.87,2.3274999999999992
46.07,8.0,7.6,2.0,0.18,0.0,0.17747781527309087,0.9498812648418948,0.0,1.0,5.0,0.0,1.0,6.62,1.4151000000000005
43.01,13.0,7.1,6.0,0.1,1.0,0.10229982309053151,0.5461118375509576,17.0,8.0,2.0,0.0,0.0,2.07,1.3301000000000003
108.59,47.0,2.2,10.0,0.09,1.0,0.093827790898066,0.04680751473372908,4.0,10.0,4.0,0.0,0.0,,4.4061999999999975
98.76,50.2,2.5,2.0,0.09,1.0,0.08944044939343838,0.04979980478476524,13.0,1.0,5.0,0.0,0.0,,4.4890000000000025
98.75,47.4,2.9,1.0,0.3,0.0,0.2978840108858463,0.061180143878821126,0.0,20.0,4.0,1.0,0.0,,14.050899999999992
